user,DZObnpKPO3cobSJWA6zaK,EmEe2TEYxAFbNqbon8csP,8B1cT3-y-kQ8mgVgYywEv,M05QqnDZEu0Fj6qrTtdSG,hQZvZIseJXyUFJEZ78-fz,NQe3sR8pKUyqvQfmCSsPc,xvKGJTxwjwJCiGyEeGjLn,tLvSFKbPT-mpYhiAIxGEe,PBOTslQiQDWkz7n6gtRRy,CShKY0dgwWXKFG6XeV8w3,I-XBG_1NlWo0pc1YUVTsq,I5mbktxDVDrpS56_2ZzlF,yc5gVRH266TWsfvrLGiI6,pUV9RWUsVI-S3UReLVeLY,cDi1Vfe9LPRtbZfMieOXg,eaxrkYopmtY9uMfdftOeD,rULbr8lif98CPD6bBowhQ,Rl4CQwZ4w4Y6sClp5VCS0,9BZANXTjpc2b8C8In5cY4,f46DJlKR6QY5XAVvrTq0X,YCqKzGcQqZykIIWJe40QE,haeNlgCfyaVev3_bqw4HP,uEFvWyp7i_JTr61rMgvpc,2zELMic0CCV-geiWqnXLZ,gFwoTXkAcAckZCCs9-hbJ,pyNjv9i4A3WcRNK_mfmmq,az0rNSr8I83DWRGHt1RpJ,a6d9bDERMgJ8CgOHwquoG,aifYnRrToVksZwh5Ka_rS,9c-zdRbtNg4rWX0JrWRsv,AzsGJVwqQOEKbtdYSngED,lxDqrTwuZCV04obOBeyfw,LZK4RILvq6lNKfIBDtpPT,feohhCkiAl599S9HGKkpe,_8OdW_ggLBKpTRnlypeUV,_0-Dtu4abTAclzMPpk2op,k0wpzFVmnn3NZgTqck0W_,wRKLb6zxuAPIsTWicXEb2,WP_erMqa4hMgzo4YZPl-9
DZObnpKPO3cobSJWA6zaK,,5,2,17,12,14,4,17,20,13,19,20,21,22,5,7,20,9,16,24,11,4,14,,13,4,12,1,21,3,10,,13,4,2,29,21,12,21
EmEe2TEYxAFbNqbon8csP,5,,,0,2,1,,3,4,3,4,2,4,2,1,1,0,0,1,0,5,,3,,4,,0,,3,0,2,,1,0,0,4,1,1,4
8B1cT3-y-kQ8mgVgYywEv,2,,,4,2,1,0,6,7,3,8,8,2,7,3,1,5,1,6,4,4,,6,,3,2,3,2,4,0,0,,0,0,1,1,3,,1
M05QqnDZEu0Fj6qrTtdSG,17,0,4,,19,13,5,7,14,11,17,19,6,18,8,8,12,15,18,18,11,4,21,,9,5,14,1,17,6,15,,17,4,2,21,9,10,13
hQZvZIseJXyUFJEZ78-fz,12,2,2,19,,17,5,11,14,12,10,13,11,18,7,9,10,14,14,19,9,7,13,,6,7,3,4,16,5,14,0,15,9,3,8,15,7,10
NQe3sR8pKUyqvQfmCSsPc,14,1,1,13,17,,11,14,10,10,14,15,6,17,16,7,13,42,12,10,7,5,10,,7,5,11,8,16,8,47,1,15,2,1,14,12,17,20
xvKGJTxwjwJCiGyEeGjLn,4,,0,5,5,11,,3,1,3,3,6,2,2,4,2,3,6,5,1,6,1,2,,0,0,3,2,7,5,7,,1,0,,5,5,4,2
tLvSFKbPT-mpYhiAIxGEe,17,3,6,7,11,14,3,,18,6,20,11,15,20,11,6,23,3,15,14,15,4,29,,18,3,11,3,9,1,4,,15,5,,12,9,8,18
PBOTslQiQDWkz7n6gtRRy,20,4,7,14,14,10,1,18,,13,23,18,17,20,11,9,21,14,16,16,26,3,20,,19,2,10,2,18,4,12,1,9,5,1,16,11,6,21
CShKY0dgwWXKFG6XeV8w3,13,3,3,11,12,10,3,6,13,,13,11,7,10,10,2,5,6,13,8,4,3,10,,11,1,4,0,13,1,8,1,8,4,,9,5,2,5
I-XBG_1NlWo0pc1YUVTsq,19,4,8,17,10,14,3,20,23,13,,15,17,14,17,8,20,10,19,11,11,1,23,,13,5,13,1,12,1,5,,10,0,1,12,13,8,16
I5mbktxDVDrpS56_2ZzlF,20,2,8,19,13,15,6,11,18,11,15,,19,18,10,4,15,5,16,21,24,1,16,,20,5,9,5,14,4,9,,11,1,0,18,14,8,12
yc5gVRH266TWsfvrLGiI6,21,4,2,6,11,6,2,15,17,7,17,19,,10,12,3,9,6,12,12,21,3,15,,13,6,13,3,12,0,6,,9,3,2,16,10,3,13
pUV9RWUsVI-S3UReLVeLY,22,2,7,18,18,17,2,20,20,10,14,18,10,,9,1,20,5,13,7,16,3,11,,12,7,10,1,12,2,9,,16,2,2,18,16,10,14
cDi1Vfe9LPRtbZfMieOXg,5,1,3,8,7,16,4,11,11,10,17,10,12,9,,7,8,8,10,10,7,2,11,,6,2,5,2,10,6,16,,10,1,2,14,9,9,10
eaxrkYopmtY9uMfdftOeD,7,1,1,8,9,7,2,6,9,2,8,4,3,1,7,,1,31,5,5,2,17,3,4,1,2,1,35,8,22,16,,18,9,2,8,4,12,3
rULbr8lif98CPD6bBowhQ,20,0,5,12,10,13,3,23,21,5,20,15,9,20,8,1,,6,13,16,23,3,14,,11,5,12,0,10,1,7,,10,1,,18,11,9,9
Rl4CQwZ4w4Y6sClp5VCS0,9,0,1,15,14,42,6,3,14,6,10,5,6,5,8,31,6,,8,5,5,8,4,1,5,3,7,19,12,8,30,,20,6,4,13,10,14,7
9BZANXTjpc2b8C8In5cY4,16,1,6,18,14,12,5,15,16,13,19,16,12,13,10,5,13,8,,16,20,4,20,,15,9,9,3,13,3,4,,13,5,2,19,13,6,20
f46DJlKR6QY5XAVvrTq0X,24,0,4,18,19,10,1,14,16,8,11,21,12,7,10,5,16,5,16,,13,4,18,,14,1,18,2,16,3,9,2,13,4,0,25,14,10,17
YCqKzGcQqZykIIWJe40QE,11,5,4,11,9,7,6,15,26,4,11,24,21,16,7,2,23,5,20,13,,2,19,1,13,8,13,1,15,3,7,,4,3,1,17,12,4,15
haeNlgCfyaVev3_bqw4HP,4,,,4,7,5,1,4,3,3,1,1,3,3,2,17,3,8,4,4,2,,7,,1,0,0,4,2,7,2,,4,6,,7,5,6,4
uEFvWyp7i_JTr61rMgvpc,14,3,6,21,13,10,2,29,20,10,23,16,15,11,11,3,14,4,20,18,19,7,,,10,9,5,2,8,3,2,,3,1,2,13,6,3,12
2zELMic0CCV-geiWqnXLZ,,,,,,,,,,,,,,,,4,,1,,,1,,,,,,1,0,1,2,1,,,1,,,,,
gFwoTXkAcAckZCCs9-hbJ,13,4,3,9,6,7,0,18,19,11,13,20,13,12,6,1,11,5,15,14,13,1,10,,,5,11,0,11,2,4,,4,4,1,20,12,5,13
pyNjv9i4A3WcRNK_mfmmq,4,,2,5,7,5,0,3,2,1,5,5,6,7,2,2,5,3,9,1,8,0,9,,5,,2,1,4,2,3,,2,1,0,7,1,2,3
az0rNSr8I83DWRGHt1RpJ,12,0,3,14,3,11,3,11,10,4,13,9,13,10,5,1,12,7,9,18,13,0,5,1,11,2,,3,7,3,4,,8,2,,14,11,4,13
a6d9bDERMgJ8CgOHwquoG,1,,2,1,4,8,2,3,2,0,1,5,3,1,2,35,0,19,3,2,1,4,2,0,0,1,3,,5,17,15,,8,2,,2,0,6,2
aifYnRrToVksZwh5Ka_rS,21,3,4,17,16,16,7,9,18,13,12,14,12,12,10,8,10,12,13,16,15,2,8,1,11,4,7,5,,4,6,,17,2,,13,14,12,16
9c-zdRbtNg4rWX0JrWRsv,3,0,0,6,5,8,5,1,4,1,1,4,0,2,6,22,1,8,3,3,3,7,3,2,2,2,3,17,4,,15,,5,3,,5,0,4,1
AzsGJVwqQOEKbtdYSngED,10,2,0,15,14,47,7,4,12,8,5,9,6,9,16,16,7,30,4,9,7,2,2,1,4,3,4,15,6,15,,1,10,3,1,9,8,18,8
lxDqrTwuZCV04obOBeyfw,,,,,0,1,,,1,1,,,,,,,,,,2,,,,,,,,,,,1,,,,,1,1,,1
LZK4RILvq6lNKfIBDtpPT,13,1,0,17,15,15,1,15,9,8,10,11,9,16,10,18,10,20,13,13,4,4,3,,4,2,8,8,17,5,10,,,4,1,9,12,5,7
feohhCkiAl599S9HGKkpe,4,0,0,4,9,2,0,5,5,4,0,1,3,2,1,9,1,6,5,4,3,6,1,1,4,1,2,2,2,3,3,,4,,,2,3,3,3
_8OdW_ggLBKpTRnlypeUV,2,0,1,2,3,1,,,1,,1,0,2,2,2,2,,4,2,0,1,,2,,1,0,,,,,1,,1,,,1,2,1,1
_0-Dtu4abTAclzMPpk2op,29,4,1,21,8,14,5,12,16,9,12,18,16,18,14,8,18,13,19,25,17,7,13,,20,7,14,2,13,5,9,1,9,2,1,,16,10,19
k0wpzFVmnn3NZgTqck0W_,21,1,3,9,15,12,5,9,11,5,13,14,10,16,9,4,11,10,13,14,12,5,6,,12,1,11,0,14,0,8,1,12,3,2,16,,4,13
wRKLb6zxuAPIsTWicXEb2,12,1,,10,7,17,4,8,6,2,8,8,3,10,9,12,9,14,6,10,4,6,3,,5,2,4,6,12,4,18,,5,3,1,10,4,,9
WP_erMqa4hMgzo4YZPl-9,21,4,1,13,10,20,2,18,21,5,16,12,13,14,10,3,9,7,20,17,15,4,12,,13,3,13,2,16,1,8,1,7,3,1,19,13,9,
